[13] pred = [-0.17377], real = [-0.027]
[876] pred = [0.808709], real = [0.886]
[885] pred = [2.040754], real = [2.027]
[917] pred = [-1.629542], real = [-2.341]
[932] pred = [1.707584], real = [1.675]
[952] pred = [1.411228], real = [1.33]
[983] pred = [1.248762], real = [1.361]
[984] pred = [2.239947], real = [2.106]
[1026] pred = [1.692704], real = [1.635]
[1028] pred = [3.557334], real = [4.489]
[1056] pred = [0.358639], real = [0.344]
[1068] pred = [1.209181], real = [1.201]
[1070] pred = [1.0843], real = [1.04]
[1077] pred = [3.626466], real = [3.656]
[1078] pred = [0.540174], real = [0.454]
[1089] pred = [2.833989], real = [2.638]
[1113] pred = [0.862152], real = [0.928]
[1122] pred = [2.412957], real = [2.331]
[1136] pred = [0.267628], real = [0.25]
[1163] pred = [1.8506], real = [1.871]
[1177] pred = [0.6041], real = [0.733]
[1180] pred = [-0.166762], real = [-0.265]
[1184] pred = [1.523341], real = [1.599]
[1187] pred = [2.199403], real = [2.325]
[1194] pred = [1.49216], real = [1.354]
[1216] pred = [0.302363], real = [0.243]
[1219] pred = [0.483235], real = [0.502]
[1263] pred = [1.945148], real = [1.936]
[1271] pred = [0.344672], real = [0.32]
[1281] pred = [1.434148], real = [1.338]
[1303] pred = [0.047241], real = [0.132]
[1339] pred = [-0.111627], real = [-0.608]
[1348] pred = [1.903714], real = [1.712]
[1356] pred = [1.986332], real = [2.014]
[1367] pred = [-0.374443], real = [-0.313]
[1371] pred = [2.196306], real = [2.337]
[1398] pred = [3.790116], real = [3.905]
[1407] pred = [1.304655], real = [1.273]
[1410] pred = [0.453864], real = [0.308]
[1433] pred = [0.842654], real = [0.905]
[1583] pred = [2.178536], real = [1.96]
[1596] pred = [1.279457], real = [1.294]
[1622] pred = [0.165396], real = [-0.09]
[1623] pred = [0.15956], real = [-0.016]
[1626] pred = [1.569857], real = [1.654]
[1636] pred = [1.969468], real = [1.883]
[1641] pred = [0.479037], real = [0.636]
[1647] pred = [1.12792], real = [1.161]
[1755] pred = [0.27938], real = [0.395]
[1763] pred = [2.165464], real = [2.106]
[1765] pred = [-1.037582], real = [-1.203]
[1786] pred = [2.471938], real = [2.317]
[1797] pred = [1.309345], real = [1.29]
[1819] pred = [-0.491483], real = [-0.322]
[1831] pred = [4.195388], real = [4.347]
[1885] pred = [1.404987], real = [1.559]
[1894] pred = [2.170098], real = [2.283]
[1927] pred = [0.190323], real = [0.263]
[1938] pred = [-0.076866], real = [0.21]
[1999] pred = [0.746941], real = [0.853]
[2043] pred = [4.170708], real = [4.156]
[2128] pred = [0.047618], real = [-0.024]
[2167] pred = [0.921141], real = [1.099]
[2182] pred = [1.694964], real = [1.632]
[2200] pred = [2.884105], real = [2.718]
[2206] pred = [-0.899692], real = [-0.915]
[2221] pred = [-0.52178], real = [-0.333]
[2250] pred = [1.081402], real = [1.222]
[2253] pred = [1.279804], real = [1.075]
[2255] pred = [1.484732], real = [1.399]
[2289] pred = [0.884299], real = [0.946]
[2294] pred = [0.003443], real = [0.159]
[2342] pred = [1.678032], real = [1.573]
[2347] pred = [-0.845001], real = [-1.225]
[2401] pred = [1.867839], real = [1.817]
[2415] pred = [1.010779], real = [1.11]
[2429] pred = [2.762908], real = [2.593]
[2433] pred = [1.791316], real = [1.745]
[2439] pred = [0.40774], real = [0.321]
[2445] pred = [0.618477], real = [0.579]
[2485] pred = [1.948997], real = [1.747]
[2486] pred = [1.895958], real = [1.866]
[2546] pred = [-0.506276], real = [-0.392]
[2588] pred = [0.584596], real = [0.059]
[2617] pred = [0.95885], real = [1.294]
[2620] pred = [-0.443685], real = [-0.138]
[2647] pred = [0.834101], real = [0.935]
[2648] pred = [2.343876], real = [2.242]
[2729] pred = [1.801545], real = [1.653]
[2756] pred = [3.280724], real = [3.188]
[2762] pred = [2.128446], real = [2.209]
[2769] pred = [0.781804], real = [0.635]
[2770] pred = [0.483365], real = [0.736]
[2817] pred = [2.452318], real = [2.31]
[2843] pred = [2.33911], real = [2.187]
[2847] pred = [2.058471], real = [2.094]
[2874] pred = [2.304668], real = [2.237]
[2877] pred = [0.977789], real = [1.022]
[2895] pred = [1.99623], real = [1.837]
[2937] pred = [2.33728], real = [2.525]
[2943] pred = [1.069017], real = [0.959]
[2949] pred = [1.38424], real = [1.352]
[2993] pred = [-0.904], real = [-1.587]
[3004] pred = [1.574127], real = [1.476]
[3032] pred = [3.871748], real = [4.644]
[3047] pred = [0.863498], real = [0.762]
[3075] pred = [0.814109], real = [0.788]
[3078] pred = [1.178267], real = [1.274]
[3132] pred = [4.681926], real = [4.678]
[3136] pred = [1.692338], real = [1.607]
[3141] pred = [1.065484], real = [1.034]
[3159] pred = [2.395907], real = [2.202]
[3173] pred = [-0.659159], real = [-0.979]
[3225] pred = [2.075105], real = [1.931]
[3229] pred = [0.370817], real = [0.698]
[3245] pred = [-0.008975], real = [0.17]
[3252] pred = [2.021802], real = [2.226]
[3265] pred = [0.997448], real = [0.954]
[3348] pred = [0.41241], real = [0.353]
[3383] pred = [4.425278], real = [4.444]
[3386] pred = [3.19355], real = [2.848]
[3398] pred = [1.173446], real = [1.341]
[3465] pred = [0.896342], real = [1.106]
[3485] pred = [1.957447], real = [2.015]
[3508] pred = [1.985726], real = [1.985]
[3514] pred = [-0.168307], real = [-0.061]
[3523] pred = [1.29222], real = [1.391]
[3524] pred = [0.905248], real = [1.012]
[3536] pred = [2.470667], real = [2.284]
[3555] pred = [2.005628], real = [1.749]
[3566] pred = [1.10004], real = [1.185]
[3593] pred = [0.108045], real = [0.125]
[3608] pred = [0.507039], real = [0.538]
[3734] pred = [0.405529], real = [0.534]
[3740] pred = [1.031421], real = [1.146]
[3748] pred = [1.932364], real = [1.826]
[3755] pred = [1.294774], real = [1.155]
[3758] pred = [1.069903], real = [1.05]
[3769] pred = [1.15059], real = [1.027]
[3777] pred = [-0.709026], real = [-0.615]
[3799] pred = [-0.012541], real = [0.191]
[3819] pred = [1.685772], real = [1.79]
[3853] pred = [0.68179], real = [0.774]
[3854] pred = [-0.085469], real = [-0.116]
[3860] pred = [0.863611], real = [1.063]
[3873] pred = [1.487616], real = [1.446]
[3920] pred = [1.742152], real = [1.596]
[3921] pred = [-0.818645], real = [-0.709]
[3940] pred = [0.809598], real = [0.91]
[3958] pred = [0.777454], real = [0.994]
[3991] pred = [1.680118], real = [1.686]
[3999] pred = [-0.584116], real = [-0.157]
[4005] pred = [0.456849], real = [0.389]
[4027] pred = [1.559689], real = [1.5]
[4030] pred = [-0.936337], real = [-1.403]
[4034] pred = [1.092456], real = [0.934]
[4046] pred = [1.947465], real = [1.906]
[4080] pred = [0.385511], real = [0.55]
[4088] pred = [1.120042], real = [1.225]
[4132] pred = [1.750268], real = [1.841]
[4139] pred = [1.054168], real = [1.196]
[4142] pred = [1.917684], real = [1.658]
[4152] pred = [0.562032], real = [0.603]
[4198] pred = [1.457705], real = [1.394]
[4217] pred = [2.999781], real = [2.66]
[4230] pred = [0.487301], real = [0.366]
[4308] pred = [0.104674], real = [0.293]
[4314] pred = [0.682887], real = [0.772]
[4317] pred = [1.216066], real = [1.491]
[4373] pred = [1.0611], real = [0.969]
[4386] pred = [0.045031], real = [0.315]
[4396] pred = [0.828799], real = [0.964]
[4424] pred = [-0.200263], real = [-0.478]
[4438] pred = [1.324268], real = [1.252]
[4459] pred = [2.06202], real = [1.978]
[4489] pred = [1.887388], real = [2.01]
[4495] pred = [2.685113], real = [2.835]
[4511] pred = [0.262546], real = [0.385]
[4546] pred = [1.321528], real = [1.255]
[4547] pred = [3.004652], real = [2.571]
[4556] pred = [0.528647], real = [0.72]
[4671] pred = [2.417764], real = [2.274]
[4700] pred = [0.102528], real = [0.27]
[4716] pred = [-0.775523], real = [-0.544]
[4744] pred = [0.47916], real = [0.257]
[4754] pred = [1.489042], real = [1.399]
[4765] pred = [0.913807], real = [1.033]
[4771] pred = [0.886565], real = [0.905]
[4821] pred = [0.782408], real = [0.844]
[4836] pred = [0.192969], real = [0.217]
[4901] pred = [3.434154], real = [4.123]
[4927] pred = [2.500295], real = [2.87]
[4933] pred = [0.254578], real = [0.224]
[4964] pred = [0.229452], real = [0.182]
[4969] pred = [2.907914], real = [2.859]
[4973] pred = [0.448465], real = [0.542]
[5009] pred = [2.55207], real = [2.517]
[5040] pred = [1.14262], real = [1.285]
[5088] pred = [2.91022], real = [2.623]
[5109] pred = [1.367729], real = [1.258]
[5120] pred = [1.483372], real = [1.641]
[5124] pred = [1.43156], real = [1.289]
[5127] pred = [1.511865], real = [1.421]
[5133] pred = [1.09478], real = [0.962]
[5180] pred = [3.096154], real = [3.196]
[5194] pred = [-0.298671], real = [-0.379]
[5215] pred = [2.36571], real = [2.535]
[5223] pred = [1.268664], real = [1.533]
[5234] pred = [-0.453242], real = [-0.692]
[5249] pred = [1.679675], real = [1.61]
[5268] pred = [1.352337], real = [1.455]
[5302] pred = [2.631051], real = [2.372]
[5337] pred = [1.7547], real = [1.746]
[5339] pred = [1.264047], real = [1.179]
[5344] pred = [0.423763], real = [0.512]
[5372] pred = [-0.160656], real = [-0.083]
[5396] pred = [2.203554], real = [1.886]
[5434] pred = [0.65062], real = [0.563]
[5477] pred = [0.788796], real = [1.158]
[5491] pred = [0.803333], real = [0.819]
[5497] pred = [0.649342], real = [0.515]
[5499] pred = [0.100819], real = [0.099]
[5607] pred = [1.82778], real = [1.757]
[5668] pred = [1.759804], real = [1.899]
[5681] pred = [2.133317], real = [2.111]
[5722] pred = [0.832956], real = [0.844]
[5791] pred = [3.838516], real = [3.65]
[5795] pred = [2.128377], real = [2.056]
[5811] pred = [2.359271], real = [2.491]
[5814] pred = [0.580635], real = [0.698]
[5832] pred = [2.50079], real = [2.351]
[5876] pred = [1.646405], real = [1.554]
[5896] pred = [2.212677], real = [2.074]
[5915] pred = [1.415493], real = [1.384]
[5917] pred = [0.157107], real = [0.351]
[5918] pred = [1.193537], real = [1.173]
[5934] pred = [2.711689], real = [2.719]
[5944] pred = [0.171487], real = [0.117]
[5945] pred = [3.714733], real = [3.718]
[5955] pred = [3.848334], real = [3.514]
[5962] pred = [1.02273], real = [1.137]
[5990] pred = [-0.788984], real = [-1.301]
[6007] pred = [1.539555], real = [1.547]
[6009] pred = [0.937075], real = [0.941]
[6040] pred = [0.706892], real = [0.805]
[6080] pred = [2.356114], real = [2.219]
[6082] pred = [-0.262571], real = [-0.366]
[6088] pred = [-0.428852], real = [-0.836]
[6131] pred = [0.753801], real = [0.732]
[6139] pred = [1.998968], real = [1.964]
[6154] pred = [1.964318], real = [1.622]
[6160] pred = [0.350233], real = [0.544]
[6184] pred = [1.040762], real = [1.2]
[6187] pred = [3.718938], real = [3.543]
[6189] pred = [0.118543], real = [0.212]
[6190] pred = [1.374801], real = [1.357]
[6211] pred = [0.811514], real = [0.848]
[6231] pred = [3.924722], real = [4.406]
[6267] pred = [0.553763], real = [0.532]
[6272] pred = [0.193419], real = [0.467]
[6283] pred = [2.19953], real = [2.046]
[6291] pred = [-0.294961], real = [-0.54]
[6307] pred = [2.726747], real = [2.595]
[6329] pred = [0.407141], real = [0.48]
[6342] pred = [1.061463], real = [1.083]
[6355] pred = [1.562409], real = [1.696]
[6367] pred = [2.888448], real = [2.911]
[6368] pred = [0.688443], real = [0.489]
[6398] pred = [0.681181], real = [0.415]
[6431] pred = [1.841565], real = [1.77]
[6439] pred = [2.799455], real = [2.803]
[6447] pred = [2.316831], real = [2.235]
[6457] pred = [0.432253], real = [0.304]
[6482] pred = [-1.316916], real = [-1.378]
[6527] pred = [1.302157], real = [1.249]
[6548] pred = [2.093255], real = [1.87]
[6590] pred = [1.845628], real = [1.723]
[6600] pred = [0.344453], real = [0.468]
[6634] pred = [2.605379], real = [2.855]
[6648] pred = [0.01324], real = [-0.096]
[6652] pred = [-0.389724], real = [-0.543]
[6668] pred = [0.504424], real = [0.586]
[6680] pred = [2.493356], real = [2.652]
[6703] pred = [0.02031], real = [-0.259]
[6705] pred = [2.442733], real = [2.246]
[6722] pred = [1.587747], real = [1.574]
[6726] pred = [0.930093], real = [1.071]
[6741] pred = [0.161473], real = [0.165]
[6751] pred = [3.302894], real = [3.138]
[6783] pred = [0.152238], real = [0.305]
[6847] pred = [1.509996], real = [1.209]
[6860] pred = [2.007059], real = [2.084]
[6864] pred = [0.943509], real = [0.861]
[6878] pred = [3.3968], real = [3.393]
[6880] pred = [3.811885], real = [3.728]
[6887] pred = [0.615371], real = [0.597]
[6893] pred = [1.53228], real = [1.71]
[6899] pred = [1.749287], real = [1.771]
[6917] pred = [-0.920151], real = [-1.182]
[6934] pred = [1.207845], real = [1.43]
[6981] pred = [3.538965], real = [3.083]
[7010] pred = [1.873122], real = [1.709]
[7019] pred = [-0.592859], real = [-0.978]
[7039] pred = [-0.103286], real = [0.085]
[7049] pred = [0.690806], real = [0.897]
[7081] pred = [1.843639], real = [2.075]
[7098] pred = [3.181363], real = [3.029]
[7103] pred = [0.291343], real = [0.238]
[7113] pred = [-0.077163], real = [-0.107]
[7115] pred = [1.923771], real = [2.023]
[7123] pred = [3.447518], real = [3.513]
[7126] pred = [1.929279], real = [1.817]
[7182] pred = [0.35406], real = [0.184]
[7193] pred = [0.645779], real = [0.76]
[7293] pred = [-0.180206], real = [-0.114]
[7299] pred = [-0.870038], real = [-1.432]
[7300] pred = [1.013518], real = [0.921]
[7338] pred = [0.893605], real = [0.916]
[7353] pred = [2.343808], real = [2.34]
[7358] pred = [1.695484], real = [1.747]
[7405] pred = [1.704698], real = [1.878]
[7412] pred = [1.374347], real = [1.113]
[7441] pred = [0.284228], real = [0.679]
[7468] pred = [3.258481], real = [3.253]
[7488] pred = [1.918478], real = [1.848]
[7494] pred = [1.05519], real = [1.176]
[7515] pred = [2.274398], real = [2.29]
[7521] pred = [1.760985], real = [1.487]
[7534] pred = [0.373673], real = [0.537]
[7535] pred = [1.590506], real = [1.559]
[7565] pred = [0.378009], real = [0.557]
[7598] pred = [1.077005], real = [1.115]
[7631] pred = [1.533063], real = [1.469]
[7637] pred = [0.579477], real = [0.501]
[7700] pred = [3.306179], real = [3.277]
[7709] pred = [2.275645], real = [2.242]
[7813] pred = [-0.731347], real = [-1.197]
[7821] pred = [1.53686], real = [1.388]
[7831] pred = [1.316252], real = [1.322]
[7842] pred = [2.935542], real = [2.804]
[7848] pred = [1.4644], real = [1.171]
[7864] pred = [0.203518], real = [0.213]
[7868] pred = [1.407943], real = [1.547]
[7891] pred = [3.151005], real = [3.229]
[7906] pred = [1.034835], real = [1.381]
[7940] pred = [1.104278], real = [1.196]
[7996] pred = [1.135275], real = [1.264]
[7998] pred = [-0.328281], real = [-0.302]
[8000] pred = [0.938174], real = [0.968]
[8032] pred = [1.894688], real = [1.721]
[8095] pred = [-0.573869], real = [-0.588]
[8097] pred = [1.39014], real = [1.339]
[8152] pred = [0.736556], real = [0.801]
[8163] pred = [2.056022], real = [1.976]
[8189] pred = [3.05441], real = [3.427]
[8191] pred = [0.767977], real = [0.895]
[8206] pred = [0.619669], real = [0.391]
[8212] pred = [0.92084], real = [1.021]
[8243] pred = [1.964704], real = [2.139]
[8271] pred = [0.342822], real = [-0.125]
[8282] pred = [2.18574], real = [2.101]
[8286] pred = [-0.139242], real = [-0.051]
[8317] pred = [1.494368], real = [1.556]
[8346] pred = [3.20992], real = [3.396]
[8357] pred = [2.200064], real = [2.128]
[8365] pred = [3.084062], real = [3.328]
[8373] pred = [2.001865], real = [1.82]
[8391] pred = [0.712229], real = [0.781]
[8433] pred = [2.124647], real = [1.98]
[8434] pred = [1.045833], real = [1.058]
[8467] pred = [3.286476], real = [3.514]
[8488] pred = [2.970095], real = [2.994]
[8541] pred = [0.418141], real = [0.319]
[8572] pred = [2.509739], real = [2.596]
[8582] pred = [0.581776], real = [0.629]
[8583] pred = [4.298908], real = [4.354]
[8590] pred = [0.044902], real = [0.044]
[8598] pred = [-0.530783], real = [-0.716]
[8616] pred = [0.608055], real = [0.556]
[8631] pred = [1.370939], real = [1.378]
[8646] pred = [1.153818], real = [1.096]
[8664] pred = [1.352652], real = [1.35]
[8667] pred = [1.842635], real = [1.92]
[8668] pred = [0.018488], real = [0.074]
[8727] pred = [0.622191], real = [0.623]
[8734] pred = [1.406688], real = [1.44]
[8774] pred = [-0.493511], real = [-0.617]
[8802] pred = [0.337735], real = [0.138]
[8813] pred = [1.345646], real = [1.149]
[8816] pred = [1.710686], real = [1.798]
[8825] pred = [1.465127], real = [1.368]
[8829] pred = [2.365056], real = [2.075]
[8847] pred = [1.943551], real = [1.807]
[8870] pred = [0.416307], real = [0.529]
[8894] pred = [1.617809], real = [1.674]
[8922] pred = [-0.035115], real = [-0.017]
[8941] pred = [1.494114], real = [1.45]
[8982] pred = [2.790549], real = [2.918]
[8987] pred = [1.060709], real = [0.959]
[8991] pred = [-0.877983], real = [-1.407]
[8993] pred = [0.873099], real = [1.047]
[8997] pred = [2.157417], real = [2.209]
[8999] pred = [0.655292], real = [0.58]
[9013] pred = [0.065181], real = [0.189]
[9038] pred = [1.497664], real = [1.403]
[9051] pred = [0.604811], real = [0.811]
[9063] pred = [2.842316], real = [2.773]
[9083] pred = [1.009643], real = [1.176]
[9104] pred = [-0.34031], real = [-0.267]
[9105] pred = [1.48737], real = [1.439]
[9111] pred = [1.007858], real = [0.906]
[9126] pred = [2.047608], real = [1.863]
[9129] pred = [3.412485], real = [3.216]
[9158] pred = [1.761921], real = [1.737]
[9179] pred = [0.238596], real = [0.14]
[9211] pred = [1.794895], real = [1.649]
[9233] pred = [1.809722], real = [1.587]
[9236] pred = [2.302387], real = [2.19]
[9315] pred = [0.41622], real = [0.436]
[9319] pred = [1.433197], real = [1.386]
[9347] pred = [1.371852], real = [1.326]
[9388] pred = [1.03411], real = [1.162]
[9428] pred = [0.290478], real = [0.086]
[9441] pred = [2.941435], real = [2.845]
[9450] pred = [0.055763], real = [-0.193]
[9469] pred = [1.735157], real = [1.642]
[9477] pred = [0.352477], real = [0.151]
[9496] pred = [2.240143], real = [2.025]
[9537] pred = [0.515318], real = [0.722]
[9551] pred = [2.330654], real = [2.304]
[9584] pred = [0.557156], real = [0.671]
[9585] pred = [-1.08897], real = [-1.425]
[9600] pred = [0.476881], real = [0.495]
[9655] pred = [0.253818], real = [0.413]
[9689] pred = [0.324117], real = [0.298]
[9697] pred = [1.128661], real = [1.108]
[9701] pred = [-0.995427], real = [-1.179]
[9757] pred = [3.195031], real = [2.875]
[9768] pred = [3.087504], real = [2.632]
[9769] pred = [1.316357], real = [1.222]
[9837] pred = [-0.018148], real = [-0.042]
[9840] pred = [2.239585], real = [1.753]
[9878] pred = [1.563802], real = [1.531]
[9886] pred = [-0.18512], real = [-0.63]
[9915] pred = [1.572959], real = [1.627]
[9921] pred = [1.936323], real = [1.912]
[9925] pred = [-0.824224], real = [-0.903]
[9940] pred = [1.030403], real = [1.13]
[9962] pred = [0.321115], real = [0.028]
[10000] pred = [0.909975], real = [0.887]
[10013] pred = [2.04335], real = [2.13]
[10045] pred = [0.72131], real = [0.798]
[10065] pred = [1.525435], real = [1.43]
[10091] pred = [-0.561378], real = [-0.291]
[10122] pred = [-1.356814], real = [-2.143]
[10134] pred = [2.702688], real = [2.616]
[10144] pred = [-0.108015], real = [-0.073]
[10162] pred = [0.32505], real = [0.181]
[10176] pred = [-0.81638], real = [-0.816]
[10204] pred = [0.873136], real = [0.814]
[10222] pred = [1.940157], real = [2.076]
[10262] pred = [0.131064], real = [-0.245]
[10274] pred = [1.467168], real = [1.239]
[10275] pred = [1.815933], real = [1.569]
[10292] pred = [-0.969162], real = [-1.02]
[10300] pred = [-0.118732], real = [-0.225]
[10310] pred = [3.356159], real = [3.822]
[10350] pred = [2.014106], real = [1.948]
[10359] pred = [1.762534], real = [1.587]
[10401] pred = [-0.021537], real = [-0.224]
[10406] pred = [2.32735], real = [2.286]
[10427] pred = [0.332949], real = [0.407]
[10439] pred = [0.849637], real = [0.962]
[10509] pred = [1.092736], real = [1.181]
[10512] pred = [1.083883], real = [1.003]
[10603] pred = [-0.280249], real = [-0.304]
[10616] pred = [0.628423], real = [0.813]
[10624] pred = [1.695281], real = [1.786]
[10653] pred = [1.706604], real = [1.797]
[10671] pred = [1.512627], real = [1.512]
[10693] pred = [-0.948302], real = [-1.125]
[10699] pred = [2.998137], real = [2.851]
[10721] pred = [1.045305], real = [1.048]
[10741] pred = [0.983829], real = [1.007]
[10750] pred = [-0.063942], real = [0.059]
[10757] pred = [0.469677], real = [0.461]
[10765] pred = [0.938193], real = [0.687]
[10778] pred = [2.03344], real = [2.052]
[10860] pred = [4.18056], real = [3.884]
[10874] pred = [2.980198], real = [2.894]
[10909] pred = [0.31911], real = [0.577]
[10918] pred = [2.418972], real = [2.227]
[10963] pred = [-0.292576], real = [-0.47]
[10983] pred = [0.902725], real = [1.092]
[10987] pred = [3.859581], real = [3.696]
[10991] pred = [1.987078], real = [2.069]
[11005] pred = [1.560906], real = [1.409]
[11038] pred = [2.058851], real = [2.132]
[11050] pred = [-1.377984], real = [-1.434]
[11053] pred = [3.177414], real = [3.215]
[11072] pred = [2.341601], real = [2.275]
[11085] pred = [1.214081], real = [1.237]
[11095] pred = [2.240431], real = [2.19]
[11134] pred = [-0.173282], real = [-0.38]
[11158] pred = [2.335056], real = [2.134]
[11204] pred = [0.273632], real = [0.63]
[11207] pred = [-1.315236], real = [-1.975]
[11252] pred = [2.15333], real = [2.274]
[11289] pred = [2.39018], real = [2.489]
[11321] pred = [1.855713], real = [1.718]
[11325] pred = [1.985242], real = [1.997]
[11347] pred = [0.710665], real = [0.74]
[11379] pred = [3.174837], real = [2.79]
[11402] pred = [1.924036], real = [1.875]
[11403] pred = [-0.477762], real = [-0.264]
[11462] pred = [1.123558], real = [1.334]
[11476] pred = [2.534014], real = [2.429]
[11482] pred = [0.952634], real = [0.883]
[11499] pred = [0.654518], real = [0.689]
[11540] pred = [2.464931], real = [2.471]
[11541] pred = [0.40886], real = [0.374]
[11562] pred = [0.745135], real = [0.666]
[11566] pred = [-0.428865], real = [-0.321]
[11582] pred = [1.416744], real = [1.441]
[11628] pred = [1.142256], real = [1.163]
[11658] pred = [1.36695], real = [1.326]
[11670] pred = [3.068841], real = [3.048]
[11682] pred = [3.257623], real = [3.625]
[11685] pred = [2.672203], real = [2.57]
[11725] pred = [1.589048], real = [1.509]
[11738] pred = [3.669072], real = [3.507]
[11741] pred = [0.624487], real = [0.666]
[11766] pred = [1.01933], real = [1.016]
[11777] pred = [0.176816], real = [0.21]
[11788] pred = [0.72065], real = [0.701]
[11796] pred = [0.250386], real = [0.415]
[11810] pred = [1.971296], real = [1.785]
[11833] pred = [1.363795], real = [1.377]
[11843] pred = [2.937704], real = [3.012]
[11847] pred = [1.189822], real = [1.188]
[11863] pred = [2.232949], real = [2.33]
[11873] pred = [0.959482], real = [0.996]
[11877] pred = [0.762392], real = [0.848]
[11879] pred = [2.854517], real = [2.81]
[11886] pred = [-0.188292], real = [-0.203]
[11948] pred = [1.048753], real = [1.008]
[11966] pred = [0.868222], real = [1.072]
[12007] pred = [1.42311], real = [1.479]
[12008] pred = [0.826271], real = [0.99]
[12018] pred = [0.057287], real = [-0.465]
[12096] pred = [3.480648], real = [3.938]
[12107] pred = [1.841736], real = [1.955]
[12111] pred = [1.113103], real = [1.183]
[12122] pred = [0.385999], real = [0.352]
[12124] pred = [1.251323], real = [1.226]
[12132] pred = [0.383477], real = [0.5]
[12134] pred = [2.201127], real = [2.01]
[12141] pred = [1.909545], real = [1.857]
[12170] pred = [0.526349], real = [0.609]
[12217] pred = [-1.228794], real = [-1.648]
[12239] pred = [1.910405], real = [1.818]
[12313] pred = [0.49136], real = [0.618]
[12320] pred = [0.134142], real = [0.261]
[12371] pred = [-0.932044], real = [-1.407]
[12384] pred = [0.799464], real = [0.769]
[12393] pred = [0.494368], real = [0.574]
[12395] pred = [3.10823], real = [3.086]
[12421] pred = [2.241792], real = [2.036]
[12454] pred = [0.196045], real = [0.398]
[12455] pred = [2.374513], real = [2.325]
[12456] pred = [0.539197], real = [0.563]
[12467] pred = [-0.108005], real = [-0.177]
[12468] pred = [0.957332], real = [0.956]
[12469] pred = [1.078726], real = [0.989]
[12496] pred = [1.77381], real = [1.732]
[12533] pred = [0.66067], real = [0.734]
[12534] pred = [1.619411], real = [1.682]
[12554] pred = [0.490257], real = [0.583]
[12556] pred = [1.059931], real = [1.105]
[12588] pred = [1.224044], real = [1.149]
[12601] pred = [1.497642], real = [1.373]
[12631] pred = [1.120392], real = [1.12]
[12650] pred = [3.579858], real = [3.333]
[12659] pred = [1.461933], real = [1.516]
[12675] pred = [3.656894], real = [3.434]
[12686] pred = [-0.665492], real = [-1.039]
[12687] pred = [-0.017649], real = [-0.371]
[12705] pred = [1.370002], real = [1.407]
[12755] pred = [1.131969], real = [1.15]
[12756] pred = [0.705587], real = [0.753]
[12759] pred = [1.914923], real = [1.887]
[12791] pred = [0.867575], real = [1.171]
[12800] pred = [2.522711], real = [2.29]
[12811] pred = [0.518154], real = [0.388]
[12812] pred = [1.64866], real = [1.576]
[12824] pred = [1.454], real = [1.494]
[12858] pred = [0.844277], real = [0.789]
[12902] pred = [2.123062], real = [1.94]
[12932] pred = [0.558855], real = [0.758]
[12943] pred = [-0.965927], real = [-1.392]
[12978] pred = [-0.030044], real = [-0.073]
[12989] pred = [-1.145773], real = [-1.239]
----------------
input size : 13000
train size : 12350
valid size : 650
MAE        : 0.134809
MSE        : 0.034328
accuracy   : 1.0
pred avg   : [1.2453429]
real avg   : [1.22500154]
